"id","name","bn_name","code","hrms_code","city","phone","email","routing_no","address","recommended_manpower","description","parent_id","type","created_at","updated_at"
218,"Chiltala Bazar Branch, Pirojpur","চিলতলা বাজার শাখা, পিরোজপুর","0521","BR108",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:04:17"
219,"Dhanishafa Branch, Pirojpur","ধানীসাফা শাখা, পিরোজপুর","0514","BR109",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:04:31"
220,"Durgapur Branch, Pirojpur","দূর্গাপুর শাখা, পিরোজপুর","0522","BR110",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:05:31"
221,"Ikri Bazar Branch, Pirojpur","ইকড়ি বাজার শাখা, পিরোজপুর","0520","BR111",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:05:46"
222,"Gulishakhali Branch, Pirojpur","গুলিশাখালী শাখা, পিরোজপুর","0515","BR112",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:05:56"
223,"Kalakhali Branch, Pirojpur","কলাখালী শাখা, পিরোজপুর","0524","BR113",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:06:15"
224,"Kaukhali Branch, Pirojpur","কাউখালী শাখা, পিরোজপুর","0504","BR114",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:06:28"
225,"Kouri Khara Branch, Pirojpur","কৌড়িখাড়া শাখা, পিরোজপুর","0509","BR115",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:06:39"
226,"Kuriana Branch, Pirojpur","কুড়িয়ানা শাখা, পিরোজপুর","0523","BR116",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:06:48"
227,"Mathbaria Branch, Pirojpur","মঠবাড়িয়া শাখা, পিরোজপুর","0513","BR117",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:06:57"
228,"Matibhanga Branch, Pirojpur","মাটিভাঙ্গা শাখা, পিরোজপুর","0519","BR118",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:07:06"
229,"Mulgram Hat Branch, Pirojpur","মুলগ্রাম হাট শাখা, পিরোজপুর","0502","BR119",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:07:19"
230,"Nazirpur Branch, Pirojpur","নাজিরপুর শাখা, পিরোজপুর","0505","BR120",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:07:40"
231,"Pirojpur Branch, Pirojpur","পিরোজপুর শাখা, পিরোজপুর","0501","BR121",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:08:04"
232,"Shankarpasha Branch, Pirojpur","শংকরপাশা শাখা, পিরোজপুর","0525","BR122",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:08:16"
233,"Shapleja Bazar Branch, Pirojpur","সাপলেজা বাজার শাখা, পিরোজপুর","0517","BR123",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:08:31"
234,"Swarupkati Branch, Pirojpur","স্বরুপকাঠী শাখা, পিরোজপুর","0518","BR124",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:11:05"
235,"Telikhali Branch, Pirojpur","তেলিখালী শাখা, পিরোজপুর","0512","BR125",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:11:14"
236,"Indurkani Branch, Pirojpur","ইন্দুরকানী শাখা, পিরোজপুর","0507","BR126",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:11:33"
237,"Alam Shah Para Madrasha Branch,Chattogram (East)","আলম শাহ পাড়া মাদ্রাসা শাখা, চট্টগ্রাম(পূর্ব)","3308","BR127",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:12:37"
238,"Ashraf ali chowdhury hat Branch,Chattogram (East)","আশরাফ আলী চৌধুরী হাট শাখা, চট্টগ্রাম(পূর্ব)","5501","BR128",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:13:30"
239,"Azadi Bazar Branch,Chattogram (East)","আজাদী বাজার শাখা, চট্টগ্রাম(পূর্ব)","2908","BR129",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:13:45"
240,"Fatikchari Branch,Chattogram (East)","ফটিকছড়ি শাখা, চট্টগ্রাম(পূর্ব)","2906","BR130",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:13:54"
241,"Hathazari Branch,Chattogram (East)","হাটহাজারী শাখা, চট্টগ্রাম(পূর্ব)","2919","BR131",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 12:14:06"
